"FacilityID";"ProvinceCode";"DistrictCode";"FacilityCode";"FacilityName";"FullFacilityCode";"FullFacilityCodeDashes"
147;1;"2";"25";"Cashel Clinic";"010225";"01-02-25"
148;1;"2";"26";"Chakohwa Clinic";"010226";"01-02-26"
149;1;"2";"27";"Chikwakwa Clinic";"010227";"01-02-27"
150;1;"2";"29";"Gudyanga Clinic";"010229";"01-02-29"
151;1;"2";"30";"Mutsvangwa Clinic";"010230";"01-02-30"
152;1;"2";"31";"Ngorima Clinic";"010231";"01-02-31"
153;1;"2";"32";"Shinja Clinic";"010232";"01-02-32"
154;1;"2";"51";"Arda Rusitu Clinic";"010251";"01-02-51"
155;1;"2";"52";"Martin Forest";"010252";"01-02-52"
156;1;"2";"61";"Charter Clinic";"010261";"01-02-61"
157;1;"2";"62";"Chisengu Clinic";"010262";"01-02-62"
158;1;"2";"63";"Gwendingwe Clinic";"010263";"01-02-63"
159;1;"2";"64";"Roscommon Clinic";"010264";"01-02-64"
160;1;"2";"65";"Tarka Clinic";"010265";"01-02-65"
161;1;"2";"66";"Tilbury Clinic";"010266";"01-02-66"
162;1;"3";"03";"Chinyamukwakwa R.H.C";"010303";"01-03-03"
163;1;"3";"06";"Kopera R.H.C.";"010306";"01-03-06"
164;1;"3";"07";"Mabee R.H.C.";"010307";"01-03-07"
165;1;"3";"09";"Mahenye R.H.C.";"010309";"01-03-09"
166;1;"3";"0A";"Chipinge Hospital";"01030A";"01-03-0A"
167;1;"3";"0B";"Chikore Hospital";"01030B";"01-03-0B"
168;1;"3";"0C";"Mt.Selinda Hospital";"01030C";"01-03-0C"
169;1;"3";"0D";"St Peters";"01030D";"01-03-0D"
170;1;"3";"11";"Musiriswe R.H.C.";"010311";"01-03-11"
171;1;"3";"12";"Paidamoyo R.H.C.";"010312";"01-03-12"
172;1;"3";"14";"Tanganda R.H.C.";"010314";"01-03-14"
173;1;"3";"15";"Tongogara R.H.C.";"010315";"01-03-15"
174;1;"3";"16";"Tuzuka R.H.C.";"010316";"01-03-16"
175;1;"3";"17";"Z.R.P";"010317";"01-03-17"
176;1;"3";"18";"Chipinge Prisons Clinic";"010318";"01-03-18"
177;1;"3";"25";"Chibuwe Clinic";"010325";"01-03-25"
178;1;"3";"26";"Gumira Clinic";"010326";"01-03-26"
179;1;"3";"27";"Hwakwata Clinic";"010327";"01-03-27"
180;1;"3";"28";"Kondo Clinic";"010328";"01-03-28"
181;1;"3";"29";"Madhuko Clinic";"010329";"01-03-29"
182;1;"3";"30";"Manzvire Clinic";"010330";"01-03-30"
183;1;"3";"31";"Musani Clinic";"010331";"01-03-31"
184;1;"3";"32";"Mutandahwe Clinic";"010332";"01-03-32"
185;1;"3";"33";"Mutema Clinic";"010333";"01-03-33"
186;1;"3";"34";"Ngaone Clinic";"010334";"01-03-34"
187;1;"3";"35";"Rimbi Clinic";"010335";"01-03-35"
188;1;"3";"36";"Veneka Clinic";"010336";"01-03-36"
189;1;"3";"37";"Zamuchia Clinic";"010337";"01-03-37"
190;1;"3";"38";"Chichichi R.H.C.";"010338";"01-03-38"
191;1;"3";"39";"Chisuma R.H.C.";"010339";"01-03-39"
192;1;"3";"40";"Maparadza Clinic";"010340";"01-03-40"
193;1;"3";"45";"Chipangayi Clinic";"010345";"01-03-45"
194;1;"3";"46";"Chiriga Clinic";"010346";"01-03-46"
195;1;"3";"47";"Gaza Clinic";"010347";"01-03-47"
196;1;"3";"48";"Junction Gate Clinic";"010348";"01-03-48"
197;1;"3";"49";"Chipinge Town Clinic";"010349";"01-03-49"
198;1;"3";"50";"Tamandayi Clinic";"010350";"01-03-50"
199;1;"3";"61";"Arda Chisumbanje Clinic";"010361";"01-03-61"
200;1;"3";"62";"Clearwater Clinic";"010362";"01-03-62"
201;1;"3";"64";"Jersey Clinic";"010364";"01-03-64"
202;1;"3";"65";"Midsave Clinic";"010365";"01-03-65"
203;1;"3";"66";"New Year's Gift Cli.";"010366";"01-03-66"
204;1;"3";"67";"Silver Stream Clinic";"010367";"01-03-67"
205;1;"3";"68";"Smalldeel Clinic";"010368";"01-03-68"
206;1;"3";"69";"Southdown Clinic";"010369";"01-03-69"
207;1;"3";"70";"Takwirira Clinic";"010370";"01-03-70"
208;1;"3";"71";"Ratelshoek Clinic";"010371";"01-03-71"
209;1;"3";"72";"Zona Clinic";"010372";"01-03-72"
210;1;"3";"90";"Gwenzi Clinic";"010390";"01-03-90"
211;1;"4";"01";"Bamba R.H.C.";"010401";"01-04-01"
212;1;"4";"02";"Chikobvore R.H.C.";"010402";"01-04-02"
213;1;"4";"03";"Chinhenga R.H.C.";"010403";"01-04-03"
214;1;"4";"04";"Chinyika I R.H.C.";"010404";"01-04-04"
215;1;"4";"05";"Chinyika Ii R.H.C.";"010405";"01-04-05"
216;1;"4";"06";"Chinyudze R.H.C.";"010406";"01-04-06"
217;1;"4";"07";"Groobi Spring R.H.C.";"010407";"01-04-07"
218;1;"4";"09";"Gowakowa R.H.C.";"010409";"01-04-09"
219;1;"4";"0A";"Rusape Hospital";"01040A";"01-04-0A"
220;1;"4";"0B";"Weya Hospital";"01040B";"01-04-0B"
221;1;"4";"0C";"Makoni Hospital";"01040C";"01-04-0C"
222;1;"4";"0D";"Nedewedzo Hospital";"01040D";"01-04-0D"
223;1;"4";"0E";"St.Micheal's Tanda H";"01040E";"01-04-0E"
224;1;"4";"0F";"St.Therese's Hospita";"01040F";"01-04-0F"
225;1;"4";"10";"Katsenga R.H.C.";"010410";"01-04-10"
226;1;"4";"11";"Maparura R.H.C";"010411";"01-04-11"
227;1;"4";"12";"Masvosva R.H.C.";"010412";"01-04-12"
228;1;"4";"13";"Matotwe R.H.C.";"010413";"01-04-13"
229;1;"4";"14";"Mayo I R.H.C.";"010414";"01-04-14"
230;1;"4";"15";"Mayo Ii R.H.C.";"010415";"01-04-15"
231;1;"4";"18";"Nyahowe R.H.C.";"010418";"01-04-18"
232;1;"4";"19";"Nyahukwe R.H.C";"010419";"01-04-19"
233;1;"4";"20";"Nyamukamani R.H.C.";"010420";"01-04-20"
234;1;"4";"25";"Chiduku Clinic";"010425";"01-04-25"
235;1;"4";"26";"Chikore Clinic";"010426";"01-04-26"
236;1;"4";"27";"Nyazura Clinic";"010427";"01-04-27"
237;1;"4";"28";"Dowa Clinic";"010428";"01-04-28"
238;1;"4";"29";"Dumbabwe Clinic";"010429";"01-04-29"
239;1;"4";"30";"Matsika Clinic";"010430";"01-04-30"
240;1;"4";"31";"Nyamidzi Clinic";"010431";"01-04-31"
241;1;"4";"32";"Mukamba Clinic";"010432";"01-04-32"
242;1;"4";"33";"Rukweza Clinic";"010433";"01-04-33"
243;1;"4";"34";"Tandi Clinic";"010434";"01-04-34"
244;1;"4";"35";"Toriro Clinic";"010435";"01-04-35"
245;1;"4";"36";"Tsanzaguru Clinic";"010436";"01-04-36"
246;1;"4";"37";"Era Mine Clinic";"010437";"01-04-37"
247;1;"4";"38";"Maurice Nyagumbo";"010438";"01-04-38"
248;1;"4";"39";"Mufusire";"010439";"01-04-39"
249;1;"4";"40";"Headlands Clinic";"010440";"01-04-40"
250;1;"4";"41";"Mubvurungwa Clinic";"010441";"01-04-41"
251;1;"4";"42";"Vengere Clinic";"010442";"01-04-42"
252;1;"4";"43";"Ringanayi";"010443";"01-04-43"
253;1;"4";"44";"Mavhudzi Clinic";"010444";"01-04-44"
254;1;"4";"45";"Chinyadza Clinic";"010445";"01-04-45"
255;1;"4";"46";"Nyamusosa Clinic";"010446";"01-04-46"
256;1;"4";"47";"Sangano";"010447";"01-04-47"
257;1;"4";"49";"Vengere Clinic";"010449";"01-04-49"
258;1;"4";"74";"Rusape Prison";"010474";"01-04-74"
259;1;"4";"75";"ZRP Rusape";"010475";"01-04-75"
260;1;"4";"76";"Inyathi Mine";"010476";"01-04-76"
261;1;"4";"81";"Mukuwapasi Rehab";"010481";"01-04-81"
262;1;"4";"82";"Mukuwapasi Clinic";"010482";"01-04-82"
263;1;"4";"91";"Nyazura Mission Clinic";"010491";"01-04-91"
264;1;"4";"92";"Arnoldine Mission Cl";"010492";"01-04-92"
265;1;"5";"01";"Bwizi R.H.C.";"010501";"01-05-01"
266;1;"5";"02";"Chiadzwa R.H.C.";"010502";"01-05-02"
267;1;"5";"03";"Mavhiza";"010503";"01-05-03"
268;1;"5";"04";"Gutaurare R.H.C.";"010504";"01-05-04"
269;1;"5";"05";"Gwindingwi R.H.C.";"010505";"01-05-05"
270;1;"5";"06";"Muromo R.H.C.";"010506";"01-05-06"
271;1;"5";"07";"Murowa R.H.C.";"010507";"01-05-07"
272;1;"5";"09";"Mt Zuma";"010509";"01-05-09"
273;1;"5";"0A";"Mutare Provincial Hospital";"01050A";"01-05-0A"
274;1;"5";"0B";"Mutare Infectious Hospital";"01050B";"01-05-0B"
275;1;"5";"0C";"Sakubva Hospital";"01050C";"01-05-0C"
276;1;"5";"0D";"Sakubva Infectious Hospital";"01050D";"01-05-0D"
277;1;"5";"0E";"Marange Hospital";"01050E";"01-05-0E"
278;1;"5";"0F";"St.Andrew's Hospital";"01050F";"01-05-0F"
279;1;"5";"0G";"St.Joseph's Hospital";"01050G";"01-05-0G"
280;1;"5";"11";"Nyagundi R.H.C.";"010511";"01-05-11"
281;1;"5";"12";"Nyamazura R.H.C.";"010512";"01-05-12"
282;1;"5";"13";"Zvipiripiri R.H.C.";"010513";"01-05-13"
283;1;"5";"15";"Vumba";"010515";"01-05-15"
284;1;"5";"16";"Z.R.P";"010516";"01-05-16"
285;1;"5";"18";"Chitora";"010518";"01-05-18"
286;1;"5";"20";"Matanda";"010520";"01-05-20"
287;1;"5";"21";"Leekuyl Takunda";"010521";"01-05-21"
288;1;"5";"23";"Army Dependent";"010523";"01-05-23"
289;1;"5";"24";"Arda Odzi";"010524";"01-05-24"
290;1;"5";"25";"Bakorenhema Clinic";"010525";"01-05-25"
291;1;"5";"26";"Bezely Bridge Clinic";"010526";"01-05-26"
292;1;"5";"27";"Chipfatsura Clinic";"010527";"01-05-27"
293;1;"5";"29";"Chitakatira Clinic";"010529";"01-05-29"
294;1;"5";"30";"Mambwere Clinic";"010530";"01-05-30"
295;1;"5";"31";"Masasi Clinic";"010531";"01-05-31"
296;1;"5";"32";"Mutare Prison Farm Clinic";"010532";"01-05-32"
297;1;"5";"33";"Mkwada Clinic";"010533";"01-05-33"
298;1;"5";"34";"Chitaka Clinic";"010534";"01-05-34"
299;1;"5";"35";"Mushunje Clinic";"010535";"01-05-35"
300;1;"5";"36";"Nzvenga Clinic";"010536";"01-05-36"
301;1;"5";"37";"Rowa Clinic";"010537";"01-05-37"
302;1;"5";"38";"Odzi Clinic";"010538";"01-05-38"
303;1;"5";"39";"Zimunya Clinic";"010539";"01-05-39"
304;1;"5";"40";"Zumbare Clinic";"010540";"01-05-40"
305;1;"5";"41";"Dora";"010541";"01-05-41"
306;1;"5";"43";"Chishingwi";"010543";"01-05-43"
307;1;"5";"44";"Chipendereke";"010544";"01-05-44"
308;1;"5";"45";"Burma Valley Clinic";"010545";"01-05-45"
309;1;"5";"61";"City Health Clinic";"010561";"01-05-61"
310;1;"5";"62";"Chikanga Clinic";"010562";"01-05-62"
311;1;"5";"63";"Dangamvura Clinic";"010563";"01-05-63"
312;1;"5";"64";"Sakubva Health Centre";"010564";"01-05-64"
313;1;"5";"65";"Florida Clinic";"010565";"01-05-65"
314;1;"5";"66";"Fern Valley Clinic";"010566";"01-05-66"
315;1;"5";"84";"Mapofu Clinic";"010584";"01-05-84"
316;1;"5";"91";"Chikwariro Clinic";"010591";"01-05-91"
317;1;"6";"01";"Chavhanga R.H.C.";"010601";"01-06-01"
318;1;"6";"02";"Rupinda R.H.C.";"010602";"01-06-02"
319;1;"6";"03";"Sherukuru R.H.C.";"010603";"01-06-03"
320;1;"6";"04";"Tsonzo R.H.C.";"010604";"01-06-04"
321;1;"6";"0A";"Tsonzo Hospital";"01060A";"01-06-0A"
322;1;"6";"0B";"Bonda Hospital";"01060B";"01-06-0B"
323;1;"6";"0C";"Old Mutare Hospital";"01060C";"01-06-0C"
324;1;"6";"0D";"St.Barbara Hospital";"01060D";"01-06-0D"
325;1;"6";"0E";"Triashill Hospital";"01060E";"01-06-0E"
326;1;"6";"0F";"Hauna District Hospital";"01060F";"01-06-0F"
327;1;"6";"25";"Chitombo Clinic";"010625";"01-06-25"
328;1;"6";"26";"Guta Clinic";"010626";"01-06-26"
329;1;"6";"27";"Hauna Clinic";"010627";"01-06-27"
330;1;"6";"28";"Mandeya Clinic";"010628";"01-06-28"
331;1;"6";"29";"Mpotedzi Clinic";"010629";"01-06-29"
332;1;"6";"30";"Mt.Jenya Clinic";"010630";"01-06-30"
333;1;"6";"31";"Mutasa Clinic";"010631";"01-06-31"
334;1;"6";"32";"Mwoyoweshumba Clinic";"010632";"01-06-32"
335;1;"6";"33";"Ngarura Clinic";"010633";"01-06-33"
336;1;"6";"34";"Ruda Clinic";"010634";"01-06-34"
337;1;"6";"35";"Rumbizi Clinic";"010635";"01-06-35"
338;1;"6";"36";"Sachisuko Clinic";"010636";"01-06-36"
339;1;"6";"37";"Sadziwa Clinic";"010637";"01-06-37"
340;1;"6";"38";"Sagambe Clinic";"010638";"01-06-38"
341;1;"6";"39";"Sahumani Clinic";"010639";"01-06-39"
342;1;"6";"40";"Sakupwanya Clinic";"010640";"01-06-40"
343;1;"6";"41";"Samanga Clinic";"010641";"01-06-41"
344;1;"6";"42";"Samaringa Clinic";"010642";"01-06-42"
345;1;"6";"43";"Zongoro Clinic";"010643";"01-06-43"
346;1;"6";"61";"Aberfoyle Tea Estate";"010661";"01-06-61"
347;1;"6";"62";"Chingamwe Clinic";"010662";"01-06-62"
348;1;"6";"63";"Eastern Highlands 1";"010663";"01-06-63"
349;1;"6";"64";"Eastern Highlands 5";"010664";"01-06-64"
350;1;"6";"65";"Haparari";"010665";"01-06-65"
351;1;"6";"66";"Forestry Clinic";"010666";"01-06-66"
352;1;"6";"67";"Katiyo Tea Estate";"010667";"01-06-67"
353;1;"6";"68";"Selbourne Clinic";"010668";"01-06-68"
354;1;"6";"69";"Drenane Clinic";"010669";"01-06-69"
355;1;"6";"70";"Imbeza Clinic";"010670";"01-06-70"
356;1;"6";"71";"Redwing Clinic";"010671";"01-06-71"
357;1;"6";"72";"Sheba Clinic";"010672";"01-06-72"
358;1;"6";"73";"Stapleford Clinic";"010673";"01-06-73"
359;1;"6";"74";"Eastern Highlands Pl Clinic";"010674";"01-06-74"
360;1;"6";"91";"Gatsi Clinic";"010691";"01-06-91"
361;1;"6";"92";"Honde Mission Clinic";"010692";"01-06-92"
362;1;"6";"93";"St.Augustines";"010693";"01-06-93"
363;1;"6";"94";"St.Peter's Mandeya";"010694";"01-06-94"
364;1;"6";"96";"Mapara";"010696";"01-06-96"
365;1;"6";"97";"Jombe";"010697";"01-06-97"
366;1;"6";"98";"Premier Central Clinic";"010698";"01-06-98"
367;1;"7";"02";"Dombo R.H.C.";"010702";"01-07-02"
368;1;"7";"03";"Fombe R.H.C.";"010703";"01-07-03"
369;1;"7";"04";"Gairezi R.H.C.";"010704";"01-07-04"
370;1;"7";"05";"Gotekote R.H.C.";"010705";"01-07-05"
371;1;"7";"06";"Nyarumvurwe R.H.C.";"010706";"01-07-06"
372;1;"7";"07";"Matize R.H.C.";"010707";"01-07-07"
373;1;"7";"09";"Nyamombe Camp R.H.C.";"010709";"01-07-09"
374;1;"7";"0A";"Nyanga District Hosp";"01070A";"01-07-0A"
375;1;"7";"0B";"Avilla Hospital";"01070B";"01-07-0B"
376;1;"7";"0C";"Elim Hospital";"01070C";"01-07-0C"
377;1;"7";"0D";"Mt.Mellery Hospital";"01070D";"01-07-0D"
378;1;"7";"0E";"Regina Coeli Hospita";"01070E";"01-07-0E"
379;1;"7";"10";"Nyautare R.H.C.";"010710";"01-07-10"
380;1;"7";"11";"Ruchera R.H.C.";"010711";"01-07-11"
381;1;"7";"25";"Chatindo Clinic";"010725";"01-07-25"
382;1;"7";"26";"Chiwarira Clinic";"010726";"01-07-26"
383;1;"7";"27";"Nyamaropa Clinic";"010727";"01-07-27"
384;1;"7";"29";"Kambudzi Clinic";"010729";"01-07-29"
385;1;"7";"30";"Nyatate Clinic";"010730";"01-07-30"
386;1;"7";"31";"Sabvure Clinic";"010731";"01-07-31"
387;1;"7";"32";"Tombo Clinic";"010732";"01-07-32"
388;1;"7";"45";"Mobile Clinic";"010745";"01-07-45"
389;1;"7";"61";"Nyangau Clinic";"010761";"01-07-61"
390;1;"7";"62";"Nyafaru Clinic";"010762";"01-07-62"
391;1;"7";"63";"Erim Forest Estate";"010763";"01-07-63"
392;1;"7";"91";"Nyangombe Clinic";"010791";"01-07-91"
393;1;"7";"92";"Claremont Estate Clinic";"010792";"01-07-92"
394;1;"7";"94";"Nyadowa Clinic";"010794";"01-07-94"
395;2;"1";"01";"Chiveso R.H.C.";"020101";"02-01-01"
396;2;"1";"02";"Muonwe R.H.C.";"020102";"02-01-02"
397;2;"1";"03";"Prison Clinic";"020103";"02-01-03"
398;2;"1";"04";"Bindura Polyclinic";"020104";"02-01-04"
399;2;"1";"05";"Z.R.P. Clinic";"020105";"02-01-05"
400;2;"1";"0A";"Bindura Provincial";"02010A";"02-01-0A"
401;2;"1";"25";"Musana Clinic";"020125";"02-01-25"
402;2;"1";"26";"Nyava Clinic";"020126";"02-01-26"
